Calculation results,WLCE,,Life cycle stages,,,,,,,
,WLCE,WLCE intensity,Product,Construction,Use,EoL,Product intensity,Construction intensity,Use intensity,EoL intensity
unit,tonnes,tonnes/m2,tonnes,tonnes,tonnes,tonnes,kg/m2,kg/m2,kg/m2,kg/m2
mean,85.1,1.6,15.2,1.8,66.3,1.8,259.3,31.3,1136.1,29.8
std,35.7,0.4,3.6,0.5,33.7,0.5,29.1,2,484.2,0.2
min,20.7,0.5,9.6,1.2,3.5,1.1,220.3,27.5,65.4,27
25%,57.9,1.3,11.7,1.4,43.6,1.4,237.2,29.8,865.4,29.7
50%,80.5,1.6,15,1.7,64.3,1.6,257,31.1,1189.8,29.8
75%,106,1.9,17.8,2.2,88.3,2.2,270.4,32.2,1465.2,29.8
max,192.5,2.6,25.5,3.1,168.5,3.1,334.6,36.5,2118,30
*std: standard deviation,,,,,,,,,,
,,,,,,,,,,